,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,Time_diff
7110,7111,74.602407,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29589; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9589,Read,Holding,Registers,0.0003229999999945221
7111,7112,74.60273,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29590; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9590,Write,Multiple,Registers,0.0011170000000078062
7112,7113,74.603847,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29590; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9590,Write,Multiple,Registers,0.09969200000000455
7113,7114,74.703539,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29591; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9591,Read,Discrete,Inputs,0.0006249999999994316
7114,7115,74.704164,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29591; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9591,Read,Discrete,Inputs,0.000580999999996834
7115,7116,74.704745,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29592; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9592,Write,Multiple,Coils,0.0003810000000044056
7116,7117,74.705126,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29592; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9592,Write,Multiple,Coils,0.0004729999999995016
7117,7118,74.705599,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29593; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9593,Read,Input,Registers,0.0003829999999993561
7118,7119,74.705982,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29593; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9593,Read,Input,Registers,0.0006209999999953197
7119,7120,74.706603,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29594; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9594,Read,Holding,Registers,0.0003370000000018081
7120,7121,74.70694,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29594; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9594,Read,Holding,Registers,0.00031799999999293505
7121,7122,74.707258,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29595; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9595,Write,Multiple,Registers,0.00031900000000462114
7122,7123,74.707577,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29595; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9595,Write,Multiple,Registers,0.0999000000000052
7123,7124,74.807477,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29596; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9596,Read,Discrete,Inputs,0.0005959999999873844
7124,7125,74.808073,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29596; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9596,Read,Discrete,Inputs,0.0002080000000006521
7125,7126,74.808281,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29597; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9597,Write,Multiple,Coils,0.00038800000000094315
7126,7127,74.808669,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29597; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9597,Write,Multiple,Coils,0.0001620000000031041
7127,7128,74.808831,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29598; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9598,Read,Input,Registers,0.0004880000000042628
7128,7129,74.809319,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29598; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9598,Read,Input,Registers,0.00018400000000440286
7129,7130,74.809503,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29599; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9599,Read,Holding,Registers,0.00048599999999510146
7130,7131,74.809989,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29599; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9599,Read,Holding,Registers,0.00018299999999271677
7131,7132,74.810172,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29600; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9600,Write,Multiple,Registers,0.0007580000000046994
7132,7133,74.81093,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29600; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9600,Write,Multiple,Registers,0.0996290000000073
7133,7134,74.910559,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29601; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9601,Read,Discrete,Inputs,0.0006069999999880338
7134,7135,74.911166,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29601; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9601,Read,Discrete,Inputs,0.00030800000000397176
7135,7136,74.911474,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29602; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9602,Write,Multiple,Coils,0.000990999999999076
7136,7137,74.912465,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29602; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9602,Write,Multiple,Coils,0.00018300000000692762
7137,7138,74.912648,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29603; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9603,Read,Input,Registers,0.0005489999999923612
7138,7139,74.913197,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29603; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9603,Read,Input,Registers,0.00023300000000858745
7139,7140,74.91343,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29604; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9604,Read,Holding,Registers,0.0005699999999961847
7140,7141,74.914,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29604; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9604,Read,Holding,Registers,0.00023199999999690135
7141,7142,74.914232,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29605; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9605,Write,Multiple,Registers,0.0006989999999973406
7142,7143,74.914931,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29605; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9605,Write,Multiple,Registers,0.08553900000001136
7143,7144,75.00047,Raspberr_58:67:86,Broadcast,ARP,60,Who has 8.8.8.8? Tell 169.254.149.247,NaN,NaN,NaN,NaN,NaN,NaN,0.014073999999993703
7144,7145,75.014544,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29606; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9606,Read,Discrete,Inputs,0.0006549999999947431
7145,7146,75.015199,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29606; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9606,Read,Discrete,Inputs,0.0005500000000040473
7146,7147,75.015749,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29607; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9607,Write,Multiple,Coils,0.00042000000000541604
7147,7148,75.016169,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29607; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9607,Write,Multiple,Coils,0.00046299999999632746
7148,7149,75.016632,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29608; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9608,Read,Input,Registers,0.0004210000000028913
7149,7150,75.017053,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29608; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9608,Read,Input,Registers,0.0006369999999975562
7150,7151,75.01769,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29609; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9609,Read,Holding,Registers,0.0003870000000034679
7151,7152,75.018077,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29609; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9609,Read,Holding,Registers,0.0003629999999930078
7152,7153,75.01844,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29610; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9610,Write,Multiple,Registers,0.00042600000000447835
7153,7154,75.018866,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29610; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9610,Write,Multiple,Registers,0.09970500000000015
7154,7155,75.118571,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29611; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9611,Read,Discrete,Inputs,0.0006169999999912079
7155,7156,75.119188,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29611; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9611,Read,Discrete,Inputs,0.0005900000000025329
7156,7157,75.119778,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29612; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9612,Write,Multiple,Coils,0.0005799999999993588
7157,7158,75.120358,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29612; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9612,Write,Multiple,Coils,0.0003200000000020964
7158,7159,75.120678,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29613; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9613,Read,Input,Registers,0.000438000000002603
7159,7160,75.121116,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29613; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9613,Read,Input,Registers,0.00034800000000245745
7160,7161,75.121464,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29614; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9614,Read,Holding,Registers,0.0005060000000014497
7161,7162,75.12197,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29614; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9614,Read,Holding,Registers,0.0003430000000008704
7162,7163,75.122313,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29615; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9615,Write,Multiple,Registers,0.0003799999999927195
7163,7164,75.122693,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29615; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9615,Write,Multiple,Registers,0.09987700000000643
7164,7165,75.22257,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29616; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9616,Read,Discrete,Inputs,0.0005589999999955353
7165,7166,75.223129,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29616; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9616,Read,Discrete,Inputs,0.0006659999999953925
7166,7167,75.223795,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29617; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9617,Write,Multiple,Coils,0.00036800000000880573
7167,7168,75.224163,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29617; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9617,Write,Multiple,Coils,0.00047200000000202635
7168,7169,75.224635,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29618; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9618,Read,Input,Registers,0.0004529999999931533
7169,7170,75.225088,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29618; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9618,Read,Input,Registers,0.0005859999999984211
7170,7171,75.225674,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29619; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9619,Read,Holding,Registers,0.00048300000000267573
7171,7172,75.226157,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29619; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9619,Read,Holding,Registers,0.00035599999999647025
7172,7173,75.226513,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29620; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9620,Write,Multiple,Registers,0.015427000000002522
7173,7174,75.24194,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29620; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9620,Write,Multiple,Registers,0.09964399999999785
7174,7175,75.341584,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29621; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9621,Read,Discrete,Inputs,0.0006440000000083046
7175,7176,75.342228,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29621; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9621,Read,Discrete,Inputs,0.000690999999989117
7176,7177,75.342919,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29622; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9622,Write,Multiple,Coils,0.0004940000000033251
7177,7178,75.343413,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29622; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9622,Write,Multiple,Coils,0.00036900000000628097
7178,7179,75.343782,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29623; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9623,Read,Input,Registers,0.0005790000000018836
7179,7180,75.344361,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29623; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9623,Read,Input,Registers,0.0005769999999927222
7180,7181,75.344938,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29624; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9624,Read,Holding,Registers,0.0007760000000018863
7181,7182,75.345714,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29624; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9624,Read,Holding,Registers,0.000377999999997769
7182,7183,75.346092,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29625; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9625,Write,Multiple,Registers,0.0006259999999969068
7183,7184,75.346718,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29625; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9625,Write,Multiple,Registers,0.09994300000001033
7184,7185,75.446661,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29626; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9626,Read,Discrete,Inputs,0.0006429999999966185
7185,7186,75.447304,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29626; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9626,Read,Discrete,Inputs,0.000529999999997699
7186,7187,75.447834,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29627; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9627,Write,Multiple,Coils,0.00036699999999711963
7187,7188,75.448201,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29627; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9627,Write,Multiple,Coils,0.00026800000000548607
7188,7189,75.448469,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29628; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9628,Read,Input,Registers,0.000335999999990122
7189,7190,75.448805,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29628; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9628,Read,Input,Registers,0.00034000000000844466
7190,7191,75.449145,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29629; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9629,Read,Holding,Registers,0.00030099999999322335
7191,7192,75.449446,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29629; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9629,Read,Holding,Registers,0.0003390000000109694
7192,7193,75.449785,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29630; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9630,Write,Multiple,Registers,0.0003150000000005093
7193,7194,75.4501,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29630; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9630,Write,Multiple,Registers,0.0994749999999982
7194,7195,75.549575,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29631; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9631,Read,Discrete,Inputs,0.0010809999999992215
7195,7196,75.550656,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29631; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9631,Read,Discrete,Inputs,0.0006599999999963302
7196,7197,75.551316,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29632; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9632,Write,Multiple,Coils,0.0006120000000038317
7197,7198,75.551928,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29632; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9632,Write,Multiple,Coils,0.00047099999999034026
7198,7199,75.552399,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29633; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9633,Read,Input,Registers,0.0006070000000022446
7199,7200,75.553006,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29633; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9633,Read,Input,Registers,0.0006199999999978445
7200,7201,75.553626,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29634; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9634,Read,Holding,Registers,0.00047800000000108867
7201,7202,75.554104,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29634; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9634,Read,Holding,Registers,0.00044100000000923956
7202,7203,75.554545,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29635; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9635,Write,Multiple,Registers,0.000400999999996543
7203,7204,75.554946,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29635; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9635,Write,Multiple,Registers,0.09952599999999734
7204,7205,75.654472,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29636; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9636,Read,Discrete,Inputs,0.0005500000000040473
7205,7206,75.655022,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29636; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9636,Read,Discrete,Inputs,0.00271200000000249
7206,7207,75.657734,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29637; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9637,Write,Multiple,Coils,0.0005740000000002965
7207,7208,75.658308,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29637; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9637,Write,Multiple,Coils,0.00017400000000122873
7208,7209,75.658482,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29638; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9638,Read,Input,Registers,0.0004059999999981301
7209,7210,75.658888,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29638; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9638,Read,Input,Registers,0.0001319999999935817
7210,7211,75.65902,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29639; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9639,Read,Holding,Registers,0.0005220000000036862
7211,7212,75.659542,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29639; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9639,Read,Holding,Registers,0.00025300000000072487
7212,7213,75.659795,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29640; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9640,Write,Multiple,Registers,0.0007149999999995771
7213,7214,75.66051,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29640; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9640,Write,Multiple,Registers,0.10008200000000045
7214,7215,75.760592,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29641; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9641,Read,Discrete,Inputs,0.0005110000000030368
7215,7216,75.761103,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29641; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9641,Read,Discrete,Inputs,0.00038199999998767
7216,7217,75.761485,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29642; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9642,Write,Multiple,Coils,0.00031700000000967066
7217,7218,75.761802,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29642; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9642,Write,Multiple,Coils,0.0002750000000020236
7218,7219,75.762077,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29643; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9643,Read,Input,Registers,0.0003049999999973352
7219,7220,75.762382,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29643; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9643,Read,Input,Registers,0.002509000000003425
7220,7221,75.764891,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29644; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9644,Read,Holding,Registers,0.0002909999999900492
7221,7222,75.765182,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29644; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9644,Read,Holding,Registers,0.00018599999999935335
7222,7223,75.765368,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29645; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9645,Write,Multiple,Registers,0.0003060000000090213
7223,7224,75.765674,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29645; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9645,Write,Multiple,Registers,0.0999479999999977
7224,7225,75.865622,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29646; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9646,Read,Discrete,Inputs,0.0011089999999995825
7225,7226,75.866731,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29646; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9646,Read,Discrete,Inputs,0.0005029999999948132
7226,7227,75.867234,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 29647; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,9647,Write,Multiple,Coils,0.0005570000000005848
7227,7228,75.867791,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29647; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,9647,Write,Multiple,Coils,0.0002570000000048367
7228,7229,75.868048,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29648; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,9648,Read,Input,Registers,0.000580999999996834
7229,7230,75.868629,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29648; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,9648,Read,Input,Registers,0.0003370000000018081
7230,7231,75.868966,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29649; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,9649,Read,Holding,Registers,0.0004529999999931533
7231,7232,75.869419,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 29649; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,9649,Read,Holding,Registers,0.0003370000000018081
7232,7233,75.869756,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 29650; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,9650,Write,Multiple,Registers,0.00038000000000693035
7233,7234,75.870136,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 29650; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,9650,Write,Multiple,Registers,0.09947099999999409
7234,7235,75.969607,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 29651; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,9651,Read,Discrete,Inputs,0.0008130000000079463
7235,7236,75.97042,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 29651; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,9651,Read,Discrete,Inputs,0.0006690000000020291
